asn,split
135629,train
135647,train
135655,train
135835,train
135956,train
136311,train
136530,train
136907,train
137064,train
137184,train
137280,train
137409,train
137562,train
137669,train
137753,train
138038,train
138040,train
138215,train
138424,train
138629,train
138685,train
138699,train
139136,train
139174,train
139175,train
139450,train
139875,train
139876,train
140399,train
140878,train
140918,train
141039,train
141195,train
141201,train
141362,train
141870,train
142596,train
146847,train
147025,train
148967,train
149365,train
149646,train
149771,train
149854,train
150528,train
151358,train
151645,train
151704,train
151973,train
152007,train
152080,train
152302,train
196745,train
196778,train
197075,train
197131,train
197207,train
197388,train
197440,train
197565,train
197733,train
197795,train
197991,train
198184,train
198391,train
198395,train
198449,train
198468,train
198498,train
198561,train
198647,train
198759,train
198831,train
199064,train
199338,train
199364,train
199439,train
199449,train
199599,train
199976,train
200052,train
200259,train
200325,train
200556,train
200730,train
200777,train
200899,train
201026,train
201273,train
201524,train
201935,train
201969,train
202024,train
202199,train
202277,train
202373,train
202418,train
202662,train
202975,train
203020,train
203391,train
203396,train
203421,train
203529,train
203885,train
204285,train
204543,train
204588,train
204720,train
204901,train
204930,train
205173,train
205279,train
205488,train
205555,train
205622,train
205675,train
206035,train
206063,train
206072,train
206361,train
206362,train
206627,train
206629,train
207137,train
207524,train
207609,train
207684,train
207800,train
208789,train
209092,train
209188,train
209336,train
209374,train
209608,train
210091,train
210213,train
210461,train
210464,train
210580,train
210654,train
210762,train
210764,train
210882,train
210925,train
211022,train
211048,train
211058,train
211060,train
211100,train
211181,train
211616,train
211750,train
211764,train
211834,train
212238,train
212377,train
212606,train
212794,train
213002,train
213216,train
213364,train
213683,train
214498,train
215094,train
215157,train
215233,train
215680,train
215743,train
216360,train
262150,train
262186,train
262201,train
262222,train
262287,train
262312,train
262385,train
262589,train
262595,train
262928,train
263044,train
263103,train
263126,train
263241,train
263248,train
263378,train
263524,train
263586,train
263639,train
263718,train
263774,train
263791,train
263922,train
264153,train
264312,train
264313,train
264409,train
264670,train
264695,train
264789,train
264808,train
264848,train
264857,train
264900,train
265212,train
265375,train
265431,train
265449,train
265640,train
265670,train
265672,train
265687,train
265740,train
265806,train
265851,train
265859,train
265884,train
265939,train
266009,train
266407,train
266411,train
266430,train
266432,train
266655,train
266700,train
266775,train
266836,train
266995,train
267230,train
267255,train
267485,train
267525,train
267567,train
267626,train
267630,train
267777,train
267816,train
267854,train
267882,train
267892,train
267905,train
268014,train
268146,train
268178,train
268222,train
268313,train
268441,train
268639,train
268713,train
269064,train
269086,train
269209,train
269258,train
269314,train
269491,train
269631,train
269766,train
269801,train
269861,train
269906,train
269918,train
270044,train
270057,train
270442,train
270581,train
270849,train
271047,train
271213,train
271466,train
271595,train
271694,train
271780,train
271800,train
271801,train
271885,train
271949,train
271961,train
272061,train
272116,train
272136,train
272268,train
272576,train
272713,train
272852,train
272863,train
273024,train
273038,train
273395,train
273575,train
273641,train
273664,train
273749,train
273794,train
273890,train
273987,train
274010,train
327708,train
327821,train
327875,train
327932,train
327992,train
328126,train
328273,train
328274,train
328277,train
328306,train
328398,train
328440,train
328497,train
328526,train
328537,train
328608,train
328645,train
328772,train
328776,train
328998,train
329166,train
329174,train
329432,train
329467,train
393221,train
393290,train
393876,train
393995,train
393998,train
394070,train
394087,train
394132,train
394353,train
394366,train
394704,train
394741,train
394916,train
394993,train
395081,train
395217,train
395263,train
395317,train
395354,train
395537,train
395664,train
395750,train
396098,train
396319,train
396320,train
396389,train
396515,train
396566,train
397115,train
397213,train
397276,train
397382,train
397508,train
397711,train
397736,train
397795,train
397883,train
398037,train
398062,train
398079,train
398230,train
398757,train
398846,train
399263,train
399280,train
399409,train
399479,train
399561,train
399722,train
400085,train
400091,train
400390,train
400517,train
400939,train
401194,train
401201,train
401264,train
401485,train
3,val
12,val
102,val
125,val
293,val
297,val
559,val
680,val
688,val
804,val
1009,val
1030,val
1070,val
1273,val
1299,val
1320,val
1761,val
1828,val
1930,val
1955,val
2003,val
2022,val
2485,val
2497,val
2593,val
2597,val
2648,val
2665,val
2828,val
2914,val
3208,val
3209,val
3219,val
3257,val
3320,val
3401,val
3449,val
3491,val
3498,val
3549,val
3557,val
3635,val
3677,val
3719,val
3923,val
4134,val
4152,val
4637,val
4755,val
4758,val
5080,val
5650,val
5663,val
5713,val
5724,val
5742,val
5774,val
5852,val
6168,val
6192,val
6307,val
6360,val
6377,val
6471,val
6540,val
6621,val
6629,val
6674,val
6713,val
6777,val
6794,val
6801,val
6815,val
6973,val
6975,val
7018,val
7049,val
7306,val
7497,val
7575,val
7670,val
7820,val
7872,val
8150,val
8291,val
8308,val
8403,val
8529,val
8695,val
9002,val
9128,val
9215,val
9403,val
9487,val
9520,val
9590,val
9633,val
9638,val
9644,val
9685,val
9707,val
9808,val
9829,val
9860,val
9960,val
10055,val
10104,val
10183,val
10186,val
10879,val
11315,val
11431,val
11644,val
11724,val
11961,val
12008,val
12269,val
12322,val
12389,val
12430,val
12440,val
12479,val
12582,val
13011,val
13094,val
13348,val
13770,val
13836,val
13884,val
14298,val
14381,val
14509,val
14627,val
14694,val
15130,val
15133,val
15147,val
15256,val
15319,val
15423,val
15805,val
16411,val
16591,val
16637,val
16701,val
17012,val
17516,val
17574,val
17579,val
17591,val
17773,val
17865,val
18041,val
18062,val
18241,val
18297,val
18310,val
18422,val
18568,val
19069,val
19527,val
19551,val
19688,val
20057,val
20115,val
20344,val
20473,val
20545,val
21320,val
21472,val
21598,val
21764,val
21859,val
22055,val
22093,val
22351,val
22678,val
22772,val
22834,val
22987,val
23169,val
23344,val
23457,val
23676,val
23707,val
23708,val
23709,val
23735,val
23899,val
23947,val
23978,val
23987,val
24122,val
24429,val
24457,val
25237,val
25572,val
26611,val
26762,val
26810,val
26956,val
27016,val
27228,val
27318,val
27785,val
27811,val
27905,val
28012,val
28020,val
28027,val
28048,val
28052,val
28054,val
28055,val
28112,val
28114,val
28130,val
28304,val
28573,val
28586,val
28604,val
28631,val
28637,val
29214,val
29242,val
29575,val
29848,val
29977,val
30036,val
30122,val
30123,val
30124,val
30127,val
30129,val
30132,val
30134,val
30345,val
30373,val
31065,val
31122,val
31210,val
31511,val
31515,val
31898,val
32099,val
32365,val
32806,val
32858,val
33075,val
33076,val
33077,val
33079,val
33080,val
33343,val
33519,val
33584,val
34554,val
34840,val
35104,val
35506,val
35559,val
36040,val
36119,val
36553,val
36750,val
36929,val
37074,val
37100,val
37154,val
37412,val
37420,val
37424,val
37431,val
37452,val
37472,val
37682,val
37699,val
37700,val
37728,val
38011,val
38186,val
38280,val
38621,val
38622,val
38682,val
38866,val
39133,val
39279,val
39356,val
40565,val
40721,val
40863,val
41888,val
42473,val
42708,val
42831,val
43268,val
44044,val
44273,val
44407,val
45093,val
45102,val
45408,val
45442,val
45773,val
45984,val
45998,val
46210,val
46383,val
46489,val
46590,val
46839,val
47147,val
47152,val
47302,val
47583,val
47708,val
48037,val
48288,val
48586,val
48927,val
49104,val
49329,val
49368,val
49638,val
50061,val
50079,val
50248,val
50561,val
50893,val
51402,val
51701,val
51964,val
52243,val
52250,val
52308,val
52320,val
52323,val
52348,val
52381,val
52383,val
52474,val
52491,val
52622,val
52788,val
53339,val
53353,val
53357,val
53518,val
53615,val
53622,val
53642,val
53648,val
53772,val
54058,val
54368,val
54453,val
54811,val
54949,val
54994,val
55001,val
55133,val
55206,val
55403,val
55542,val
55620,val
55656,val
55731,val
55813,val
55815,val
55836,val
56056,val
56236,val
56654,val
57463,val
57473,val
57580,val
57720,val
57884,val
58146,val
58280,val
58681,val
58706,val
58828,val
59067,val
59155,val
59202,val
59323,val
59510,val
60082,val
60150,val
60174,val
60185,val
60261,val
60653,val
60812,val
60855,val
61314,val
61455,val
61487,val
61510,val
61600,val
61721,val
61785,val
62035,val
62510,val
62553,val
62558,val
62648,val
62679,val
62712,val
62819,val
62826,val
63036,val
63098,val
63171,val
63212,val
63281,val
63400,val
63408,val
63484,val
63541,val
63602,val
63704,val
63778,val
63791,val
131486,val
131944,val
132097,val
132203,val
132221,val
132471,val
132978,val
133477,val
133616,val
134099,val
135403,val
135428,val
135775,val
136061,val
136377,val
136754,val
136787,val
137018,val
137087,val
137313,val
137415,val
137422,val
137938,val
138456,val
138654,val
139009,val
139237,val
139442,val
139616,val
140457,val
140750,val
141180,val
141617,val
141721,val
141773,val
142115,val
142576,val
146757,val
146951,val
146979,val
147049,val
147066,val
147152,val
149251,val
149353,val
149640,val
150190,val
150237,val
150286,val
150570,val
150686,val
150703,val
151334,val
152063,val
152735,val
152756,val
196847,val
199104,val
199837,val
199995,val
200303,val
200350,val
200521,val
200779,val
200857,val
201547,val
201680,val
201904,val
202553,val
202886,val
202949,val
203348,val
204445,val
206446,val
206924,val
207511,val
209242,val
209513,val
210312,val
210691,val
210765,val
211081,val
211282,val
211407,val
212330,val
212815,val
214591,val
215954,val
216430,val
216454,val
262249,val
262500,val
262968,val
263584,val
263702,val
263719,val
263816,val
263889,val
264254,val
264550,val
264705,val
264886,val
265450,val
265651,val
265685,val
265792,val
265807,val
266068,val
266637,val
266715,val
266768,val
266960,val
267001,val
267320,val
267509,val
267534,val
267801,val
267820,val
268293,val
268525,val
269014,val
269354,val
269673,val
269714,val
269850,val
270065,val
270674,val
270681,val
271366,val
271626,val
271673,val
272215,val
272834,val
273513,val
273688,val
273758,val
273881,val
327836,val
328011,val
328165,val
328283,val
328419,val
328592,val
328724,val
328922,val
328995,val
393523,val
393550,val
393988,val
394271,val
394576,val
394594,val
395290,val
395400,val
395410,val
395615,val
395627,val
395658,val
396161,val
396192,val
396356,val
396982,val
397373,val
397480,val
397481,val
397585,val
397607,val
398026,val
398118,val
398158,val
398290,val
399023,val
399957,val
400476,val
400512,val
52803,test
55057,test
274670,test
