asn,communityGroupsAndNonprofits,computerAndInformationTechnology,educationAndResearch,financeAndInsurance,governmentAndPublicAdministration,healthCareServices,other,"media,Publishing,AndBroadcasting",service,"agriculture,Mining,AndRefineries(farming,Greenhouses,Mining,Forestry,AndAnimalFarming)",constructionAndRealEstate,"museums,Libraries,AndEntertainment",utilities(excludingInternetService),travelAndAccommodation,"freight,Shipment,AndPostalServices","retailStores,Wholesale,AndE_commerceSites",manufacturing
2024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2152,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2385,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2484,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2497,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2532,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2536,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2576,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2597,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2611,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2648,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2818,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2907,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3152,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3208,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3280,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3320,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3428,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3449,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3477,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3499,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3527,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3557,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3594,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3635,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3677,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3705,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3719,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3924,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4046,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4134,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4230,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4549,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4635,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4755,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4758,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4788,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4809,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4837,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4985,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5080,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5495,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5511,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5576,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5642,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5662,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5663,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5713,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5724,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5766,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5774,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5852,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6026,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6057,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6095,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6150,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6341,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6360,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6453,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6461,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6471,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6509,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6540,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6597,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6621,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6629,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6642,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6663,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6674,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6695,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6713,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6762,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6794,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6801,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6815,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6816,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6830,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6973,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6975,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7049,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7311,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7466,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7473,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7474,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7481,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7497,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7502,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7557,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7575,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7590,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7646,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7670,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7713,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7734,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7738,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7743,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7764,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7820,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7862,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7872,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7896,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7922,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7970,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8069,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8070,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8194,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8240,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8286,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8308,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8315,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8373,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8517,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8529,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8695,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8798,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8867,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8904,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8966,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9112,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9158,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9261,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9275,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9304,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9401,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9403,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9437,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9463,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9487,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9489,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9520,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9570,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9590,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9605,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9609,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9633,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9641,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9644,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9685,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9706,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9707,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9735,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9776,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9808,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9829,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9854,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9857,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
9860,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9908,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9960,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9970,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9974,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10166,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10186,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10352,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10420,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10616,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10671,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10747,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10754,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10879,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10897,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10954,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11058,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11164,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
