asn,as_name,top_level_category,sub_category
63796,"Next Network Research Laboratory, Graduate School of Science and Engineering, Hosei",EducationalResearch,ResearchInstitutes
17579,,EducationalResearch,ResearchInstitutes
721,DoD Network Information Center,Government,Executive
721,DoD Network Information Center,Government,FederalNational
7417,Ministry of Economy,Government,Executive
7417,Ministry of Economy,Government,FederalNational
132825,MYTEK TRADING PTY LTD,ContentProvider,Hosting
818,Department of Communications,Government,Executive
818,Department of Communications,Government,FederalNational
56105,Department of Education and Training,Government,Executive
56105,Department of Education and Training,Government,FederalNational
55815,Department of Premier and Cabinet MaPS IS,Government,Executive
55815,Department of Premier and Cabinet MaPS IS,Government,FederalNational
24313,NSW Department of Education,Government,Executive
24313,NSW Department of Education,Government,FederalNational
10954,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS,Government,Executive
10954,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS,Government,FederalNational
27961,Jefatura de Gabinete de Ministros (Argentina),Government,Executive
27961,Jefatura de Gabinete de Ministros (Argentina),Government,FederalNational
35503,Ministry of Education Youth and Science,Government,Executive
35503,Ministry of Education Youth and Science,Government,FederalNational
27967,Gobernacion de la Provincia de Buenos Aires,Government,Executive
27967,Gobernacion de la Provincia de Buenos Aires,Government,StateProvince
26854,New York State,Government,Executive
26854,New York State,Government,StateProvince
61448,MINISTERIO DE EDUCACION GOBIERNO DE SAN JUAN,Government,Executive
61448,MINISTERIO DE EDUCACION GOBIERNO DE SAN JUAN,Government,StateProvince
269801,MINISTERIO DE HACIENDA Y FINANZAS DE LA PROVINCIA DE JUJUY,Government,Executive
269801,MINISTERIO DE HACIENDA Y FINANZAS DE LA PROVINCIA DE JUJUY,Government,StateProvince
265651,MINISTERIO DE HACIENDA Y FINANZAS DE LA PROVINCIA DE SALTA,Government,Executive
265651,MINISTERIO DE HACIENDA Y FINANZAS DE LA PROVINCIA DE SALTA,Government,StateProvince
271047,Ministerio Publico do Amazonas,Government,Executive
271047,Ministerio Publico do Amazonas,Government,StateProvince
264313,MINISTÉRIO PÚBLICO DO ESTADO DE RORAIMA,Government,Executive
264313,MINISTÉRIO PÚBLICO DO ESTADO DE RORAIMA,Government,StateProvince
273758,PROCURADORIA GERAL DE JUSTIÇA,Government,Executive
273758,PROCURADORIA GERAL DE JUSTIÇA,Government,StateProvince
11109,State of Alabama,Government,Executive
11109,State of Alabama,Government,StateProvince
62712,State of Hawaii,Government,Executive
62712,State of Hawaii,Government,StateProvince
1798,State of Oregon,Government,Executive
1798,State of Oregon,Government,StateProvince
14977,State of Wyoming,Government,Executive
14977,State of Wyoming,Government,StateProvince
3498,California State Senate,Government,Legislative
3498,California State Senate,Government,StateProvince
52255,Grupo Servicios Junin,EnergyAndUtility,
264695,MUNICIPALIDAD DE JUNIN,Government,Executive
264695,MUNICIPALIDAD DE JUNIN,Government,CityCountyMunicipality
263241,MUNICIPALIDAD DE LA COSTA,Government,Executive
263241,MUNICIPALIDAD DE LA COSTA,Government,CityCountyMunicipality
28020,Municipalidad de Rosario,Government,Executive
28020,Municipalidad de Rosario,Government,CityCountyMunicipality
267801,MUNICIPALIDAD DE SAN SALVADOR DE JUJUY,Government,Executive
267801,MUNICIPALIDAD DE SAN SALVADOR DE JUJUY,Government,CityCountyMunicipality
265640,MUNICIPALIDAD DE TANDIL,Government,Executive
265640,MUNICIPALIDAD DE TANDIL,Government,CityCountyMunicipality
209608,Municipality of Athens,Government,Executive
209608,Municipality of Athens,Government,CityCountyMunicipality
12102,City of Portland,Government,Executive
12102,City of Portland,Government,CityCountyMunicipality
16569,City of Calgary,Government,Executive
16569,City of Calgary,Government,CityCountyMunicipality
19827,City of Carson City,Government,Executive
19827,City of Carson City,Government,CityCountyMunicipality
266700,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,Government,Legislative
266700,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,Government,FederalNational
269086,Assembleia Legislativa do Estado do RS,Government,Legislative
269086,Assembleia Legislativa do Estado do RS,Government,StateProvince
398290,House of Commons,Government,Legislative
398290,House of Commons,Government,FederalNational
45442,Department of Parliamentary Services,Government,Legislative
45442,Department of Parliamentary Services,Government,FederalNational
141195,Bangladesh Parlament Secretariat,Government,Legislative
141195,Bangladesh Parlament Secretariat,Government,FederalNational
29214,THE HOUSE OF COMMONS,Government,Legislative
29214,THE HOUSE OF COMMONS,Government,FederalNational
40721,Pennsylvania House of Representatives BMC,Government,Legislative
40721,Pennsylvania House of Representatives BMC,Government,StateProvince
40412,PA House of Representatives - Democratic Caucus,Government,Legislative
40412,PA House of Representatives - Democratic Caucus,Government,StateProvince
29860,Florida House of Representatives,Government,Legislative
29860,Florida House of Representatives,Government,StateProvince
271800,PODER JUDICIAL DE LA NACION,Government,Judiciary
271800,PODER JUDICIAL DE LA NACION,Government,FederalNational
151645,Ministry of Justice (New Zealand),Government,Judiciary
151645,Ministry of Justice (New Zealand),Government,FederalNational
58185,Ministry of Justice of Georgia,Government,Judiciary
58185,Ministry of Justice of Georgia,Government,FederalNational
38438,Department of Communities and Justice (DCJ),Government,Judiciary
38438,Department of Communities and Justice (DCJ),Government,FederalNational
23585,Ministry of Justice of South Korea,Government,Judiciary
23585,Ministry of Justice of South Korea,Government,FederalNational
206629,Ministry of Justice UK,Government,Judiciary
206629,Ministry of Justice UK,Government,FederalNational
15130,United States Department of Justice,Government,Judiciary
15130,United States Department of Justice,Government,FederalNational
52997,PARANÁ TRIBUNAL DE JUSTIÇA,Government,Judiciary
52997,PARANÁ TRIBUNAL DE JUSTIÇA,Government,StateProvince
263889,Estado do Maranhao-Tribunal de Justica do Mara...,Government,Judiciary
263889,Estado do Maranhao-Tribunal de Justica do Mara...,Government,StateProvince
263639,AMAZONAS TRIBUNAL DE JUSTICA,Government,Judiciary
263639,AMAZONAS TRIBUNAL DE JUSTICA,Government,StateProvince
265450,Justica Federal de Primeiro Grau no Parana,Government,Judiciary
265450,Justica Federal de Primeiro Grau no Parana,Government,StateProvince
265375,Justica Federal de Primeiro Grau no RS,Government,Judiciary
265375,Justica Federal de Primeiro Grau no RS,Government,StateProvince
64274,Oregon Judicial Department,Government,Judiciary
64274,Oregon Judicial Department,Government,StateProvince
3719,State of Connecticut Judicial Branch,Government,Judiciary
3719,State of Connecticut Judicial Branch,Government,StateProvince
27894,PODER JUDICIAL DE MENDOZA,Government,Judiciary
27894,PODER JUDICIAL DE MENDOZA,Government,StateProvince
398757,Federal Trade Commission,Government,Executive
398757,Federal Trade Commission,Government,FederalNational
398757,Federal Trade Commission,Government,Regulators
327836,Office Tchadien de regulatoin des telecommunic (Chad),Government,Executive
327836,Office Tchadien de regulatoin des telecommunic (Chad),Government,FederalNational
327836,Office Tchadien de regulatoin des telecommunic (Chad),Government,Regulators
35160,Communications and Media Commission (CMC),Government,Executive
35160,Communications and Media Commission (CMC),Government,FederalNational
35160,Communications and Media Commission (CMC),Government,Regulators
1761,General Services Commission,Government,Executive
1761,General Services Commission,Government,FederalNational
1761,General Services Commission,Government,Regulators
2536,Texas Commission on Alcohol & Drug Abuse,Government,Executive
2536,Texas Commission on Alcohol & Drug Abuse,Government,StateProvince
2536,Texas Commission on Alcohol & Drug Abuse,Government,Regulators
203348,Hellenic Telecommunications and Post Commision,Government,Executive
203348,Hellenic Telecommunications and Post Commision,Government,FederalNational
203348,Hellenic Telecommunications and Post Commision,Government,Regulators
63094,Office of Utilities Regulation of Jamaica,Government,Executive
63094,Office of Utilities Regulation of Jamaica,Government,FederalNational
63094,Office of Utilities Regulation of Jamaica,Government,Regulators
328277,Autorité Malienne de Regulation des Télécommin. (Mali),Government,Executive
328277,Autorité Malienne de Regulation des Télécommin. (Mali),Government,FederalNational
328277,Autorité Malienne de Regulation des Télécommin. (Mali),Government,Regulators
16701,AFIP,Government,Executive
16701,AFIP,Government,FederalNational
16701,AFIP,Government,Agencies
37582,ANINF,Government,Executive
37582,ANINF,Government,FederalNational
37582,ANINF,Government,Agencies
61656,AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL (Brazil),Government,Executive
61656,AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL (Brazil),Government,FederalNational
61656,AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL (Brazil),Government,Regulators
267892,COMISION NACIONAL DE TELECOMUNICACIONES CONATEL (NICVE) (Venezuela),Government,Executive
267892,COMISION NACIONAL DE TELECOMUNICACIONES CONATEL (NICVE) (Venezuela),Government,FederalNational
267892,COMISION NACIONAL DE TELECOMUNICACIONES CONATEL (NICVE) (Venezuela),Government,Regulators
5438,Agence Tunisienne d'Internet,Government,Executive
5438,Agence Tunisienne d'Internet,Government,FederalNational
5438,Agence Tunisienne d'Internet,Government,Agencies
52318,ASIGCBA CABA,Government,Executive
52318,ASIGCBA CABA,Government,CityCountyMunicipality
52318,ASIGCBA CABA,Government,Agencies
25373,National Agency for Network and Electronic,Government,Executive
25373,National Agency for Network and Electronic,Government,StateProvince
25373,National Agency for Network and Electronic,Government,Agencies
266637,AGENCIA DE TECNOLOGIA DA INFORMACAO,Government,Executive
266637,AGENCIA DE TECNOLOGIA DA INFORMACAO,Government,StateProvince
266637,AGENCIA DE TECNOLOGIA DA INFORMACAO,Government,Agencies
267882,"AGENCIA DE CIENCIA, TECNOLOGIA Y SOCIEDAD",Government,Executive
267882,"AGENCIA DE CIENCIA, TECNOLOGIA Y SOCIEDAD",Government,StateProvince
267882,"AGENCIA DE CIENCIA, TECNOLOGIA Y SOCIEDAD",Government,Agencies
3499,State of California Department of Motor Vehicles,Government,Executive
3499,State of California Department of Motor Vehicles,Government,StateProvince
3499,State of California Department of Motor Vehicles,Government,Agencies
269850,AGENCIA NACIONAL DE HIDROCARBUROS,Government,Executive
269850,AGENCIA NACIONAL DE HIDROCARBUROS,Government,FederalNational
269850,AGENCIA NACIONAL DE HIDROCARBUROS,Government,Agencies
24,National Aeronautics and Space Administration,Government,Executive
24,National Aeronautics and Space Administration,Government,FederalNational
24,National Aeronautics and Space Administration,Government,Agencies
264789,Agencia Boliviana Espacial (Bolivia),Government,Executive
264789,Agencia Boliviana Espacial (Bolivia),Government,FederalNational
264789,Agencia Boliviana Espacial (Bolivia),Government,Agencies
288,European Space Agency (ESA),Government,Executive
288,European Space Agency (ESA),Government,FederalNational
288,European Space Agency (ESA),Government,Agencies
10671,Comision Nacional de Actividades Espaciales,Government,Executive
10671,Comision Nacional de Actividades Espaciales,Government,FederalNational
10671,Comision Nacional de Actividades Espaciales,Government,Agencies
8519,European Space Agency (ESA),Government,Executive
8519,European Space Agency (ESA),Government,FederalNational
8519,European Space Agency (ESA),Government,Agencies
35542,Swedish Space Corporation,Government,Executive
35542,Swedish Space Corporation,Government,FederalNational
35542,Swedish Space Corporation,Government,Agencies
804,nstitute for Space and Terrestrial Science,Government,Executive
804,nstitute for Space and Terrestrial Science,Government,FederalNational
804,nstitute for Space and Terrestrial Science,Government,Agencies
9606,Institute of Space and Astronautical Science (Japan),Government,Executive
9606,Institute of Space and Astronautical Science (Japan),Government,FederalNational
9606,Institute of Space and Astronautical Science (Japan),Government,Agencies
28089,BANCO CENTRAL DE VENEZUELA,Government,FederalNational
28089,BANCO CENTRAL DE VENEZUELA,Finance,CentralBanks
27952,Banco Central de Chile,Government,FederalNational
27952,Banco Central de Chile,Finance,CentralBanks
266775,BANCO CENTRAL DE LA REPUBLICA ARGENTINA,Government,FederalNational
266775,BANCO CENTRAL DE LA REPUBLICA ARGENTINA,Finance,CentralBanks
22055,Banco Central do Brasil,Government,FederalNational
22055,Banco Central do Brasil,Finance,CentralBanks
61314,Central Bank of Ireland,Government,FederalNational
61314,Central Bank of Ireland,Finance,CentralBanks
59194,Central Bank of India,Government,FederalNational
59194,Central Bank of India,Finance,CentralBanks
56561,Central Bank of the Republic of Armenia,Government,FederalNational
56561,Central Bank of the Republic of Armenia,Finance,CentralBanks
51228,CENTRAL BANK CYPRUS LTD,Government,FederalNational
51228,CENTRAL BANK CYPRUS LTD,Finance,CentralBanks
397382,Eastern Caribbean Central Bank,Government,FederalNational
397382,Eastern Caribbean Central Bank,Finance,CentralBanks
37617,Central Bank of Lesotho,Government,FederalNational
37617,Central Bank of Lesotho,Finance,CentralBanks
37452,Central Bank of Nigeria,Government,FederalNational
37452,Central Bank of Nigeria,Finance,CentralBanks
37206,Central Bank of Uganda,Government,FederalNational
37206,Central Bank of Uganda,Finance,CentralBanks
36929,Central Bank of Egypt,Government,FederalNational
36929,Central Bank of Egypt,Finance,CentralBanks
328592,Central Bank of kenya,Government,FederalNational
328592,Central Bank of kenya,Finance,CentralBanks
31614,European Central Bank,Government,FederalNational
31614,European Central Bank,Finance,CentralBanks
215954,Qatar Central Bank,Government,FederalNational
215954,Qatar Central Bank,Finance,CentralBanks
209374,The Central Bank of the Republic of Azerbaijan,Government,FederalNational
209374,The Central Bank of the Republic of Azerbaijan,Finance,CentralBanks
10420,Banco de Mexico,Government,FederalNational
10420,Banco de Mexico,Finance,CentralBanks
139616,The Central Bank of Bangladesh,Government,FederalNational
139616,The Central Bank of Bangladesh,Finance,CentralBanks
11058,Cámara Argentina de Internet (CABASE) - Buenos Aires Routers and Route Servers,IXP,
263044,,IXP,
8714,,IXP,
1200,,IXP,
6695,,IXP,
9304,,IXP,
4635,,IXP,
31034,,IXP,
64275,,IXP,
27919,IXP Ecuador,IXP,
3557,,DNS,Roots
394353,,DNS,Roots
7342,,DNS,Roots
62119,,DNS,Roots
5577,,DNS,Roots
27678,NIC Chile,DNS,ccTLD
28468,NIC México,DNS,ccTLD
197440,,DNS,ccTLD
45285,,DNS,ccTLD
38064,,DNS,ccTLD
1030,,DNS,ccTLD
2597,REGISTRO .IT,DNS,ccTLD
61455,LACTLD Anycast Cloud,DNS,ccTLD
9735,,DNS,ccTLD
44273,GODADDY-DNS,DNS,ANS
16686,,DNS,ANS
22612,,DNS,ANS
6341,WEC Business Services LLC,EnergyAndUtility,
265685,USINA POPULAR Y MUNICIPAL DE TANDIL SEM,EnergyAndUtility,
268713,ButanoNET,Access,SmallISP
57924,"Utility enterprise ""Company ""Donbass Water""",EnergyAndUtility,
399263,PowerBill Utility Billing Solutions Inc.,EnergyAndUtility,
36673,"Vectren Utility Holdings, Inc.",EnergyAndUtility,
9857,KOREA GAS CORPORATION,Government,Executive
9857,KOREA GAS CORPORATION,Government,FederalNational
9857,KOREA GAS CORPORATION,EnergyAndUtility,
59654,Fars Province Gas Co.,Government,Executive
59654,Fars Province Gas Co.,Government,StateProvince
59654,Fars Province Gas Co.,EnergyAndUtility,
4985,PHILADELPHIA GAS WORKS,Government,Executive
4985,PHILADELPHIA GAS WORKS,Government,StateProvince
4985,PHILADELPHIA GAS WORKS,EnergyAndUtility,
206035,2i Rete Gas S.p.A.,EnergyAndUtility,
45102,Alibaba,ContentProvider,Cloud
45102,Alibaba,Enterprise,Ecommerce
62955,eBay,Enterprise,Ecommerce
53387,MercadoLibre Inc.,Enterprise,Ecommerce
17374,"Wal-Mart Stores, Inc. ",Enterprise,Ecommerce
54058,Rakuten,Enterprise,Ecommerce
9752,Flipkart Internet Pvt Ltd,Enterprise,Ecommerce
137753,Beijing Jingdong Shangke Information Technology Co. Ltd,Enterprise,Ecommerce
201026,Zalando,Enterprise,Ecommerce
2906,Netflix,Enterprise,Entertainment
8403,Spotify AB,Enterprise,Entertainment
5662,Warner Bros Discovery,Enterprise,Entertainment
43500,Warner Bros. Discovery,Enterprise,Entertainment
23344,"Disney Worldwide Services, Inc.",Enterprise,Entertainment
23286,Hulu,Enterprise,Entertainment
46489,,Enterprise,Entertainment
23258,,Enterprise,Entertainment
49142,,Enterprise,Entertainment
2022,Siemens Power Corp,Enterprise,IndustrialManufacturing
266836,COOPERATIVA DE PROVISION DE ELECTRICIDAD Y SERVICIOS PUBLICOS GENERAL CABRERA LIMITADA,EnergyAndUtility,
266836,COOPERATIVA DE PROVISION DE ELECTRICIDAD Y SERVICIOS PUBLICOS GENERAL CABRERA LIMITADA,Cooperatives,
14381,"Caterpillar, Inc.",Enterprise,IndustrialManufacturing
52756,,Enterprise,IndustrialManufacturing
7792,,Enterprise,IndustrialManufacturing
125,,Enterprise,IndustrialManufacturing
20868,,Enterprise,IndustrialManufacturing
138654,,Enterprise,IndustrialManufacturing
58894,,Enterprise,IndustrialManufacturing
3337,,Enterprise,IndustrialManufacturing
8315,Accenture B. V,Enterprise,Technology
17390,IBM,Enterprise,Technology
8075,Microsoft Corporation,ContentProvider,Cloud
8075,Microsoft Corporation,DNS,ANS
8075,Microsoft Corporation,Enterprise,Technology
15169,Google LLC,ContentProvider,Cloud
15169,Google LLC,Enterprise,Technology
109,,Enterprise,Technology
4666,,Enterprise,Technology
3614,,Enterprise,Technology
4983,Intel Corporation,Enterprise,Technology
54680,,Enterprise,Technology
38191,,Enterprise,Technology
5080,,EnergyAndUtility,
27655,YPF S.A.,Government,Executive
27655,YPF S.A.,Government,FederalNational
27655,YPF S.A.,EnergyAndUtility,
60185,,EnergyAndUtility,
61721,PETROLEO BRASILEIRO / Petrobras (Brazil) ,EnergyAndUtility,
