asn,arts_entertainment_and_recreation,financial_and_insurance_activities,household_activities,human_health_and_social_work,information_and_communication,manufacturing,public_administration_and_defense,trade_and_repair_of_vehicles,transportation_and_storage,utilities_and_waste_management,agriculture_forestry_and_fishing,mining_and_quarrying,construction,accommodation_and_food_service,real_estate_activities,professional_scientific_and_technical_activities,administrative_and_support_service_activities,education,other_service_activities,extraterritorial_organizations_and_bodies
AS53859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS58127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS721,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS818,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS56105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS55815,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS24313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27961,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS35503,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27967,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS26854,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS61448,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS269801,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265651,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS271047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS264313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS273758,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS11109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS62712,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS14977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS264695,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263241,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS28020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS267801,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265640,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS209608,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS12102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS16569,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS19827,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS266700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS269086,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS398290,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45442,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS141195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS29214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS40721,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS40412,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS29860,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS271800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS151645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS58185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS38438,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS23585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS206629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS15130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS52997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263889,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263639,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265450,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS64274,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3719,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27894,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS398757,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS327836,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS35160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1761,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS2536,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS203348,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS63094,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS328277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS16701,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS37582,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS61656,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS267892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS5438,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS52318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS25373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS266637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS267882,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS3499,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS269850,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS264789,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10671,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8519,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS35542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9606,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS28089,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27952,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS266775,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22055,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS61314,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS59194,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS56561,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS51228,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS397382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS37617,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS37452,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS37206,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS36929,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS328592,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS31614,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS215954,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS209374,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS10420,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS139616,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS11058,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6695,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9304,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS4635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS31034,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS64275,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27919,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS268713,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS13474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS265670,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27730,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS23128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS15256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS35135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6674,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS328922,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS399409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7820,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS63484,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS58828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS55878,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS54442,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS54368,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS43410,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS2559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS20331,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS4243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS50079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS31747,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS395615,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS6973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS9590,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS21168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS63147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS264312,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS58681,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS198759,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS140878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263719,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS53615,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS4756,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS41888,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS24561,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS33138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS399722,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS52459,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS30345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS54289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS45375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS22678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7163,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS57116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS205622,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS137422,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS26723,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS395750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS14790,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS393550,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS46483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS61880,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS55010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS328011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS328776,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS32858,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS132093,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS59645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS58280,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS206924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS42615,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS210312,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS44421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS202418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS49933,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS57782,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS204543,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS216454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS63103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS133386,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS204901,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS28048,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS267854,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS56036,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS197733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS213364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS24389,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS20595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS7670,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS55001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS905,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS58446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS40863,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS401194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS400085,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS397711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS395317,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS393998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS393995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS36553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS25992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS201904,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS201524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS15205,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS151973,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS139237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS138215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS135835,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS133477,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS132619,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS1070,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS263718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS212377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS48782,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27030,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS137415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS8291,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS43797,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS42121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS17147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS52240,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AS27949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
